date;SP500;NASDAQ
2023-03-21-12-05;3973.16;12600.31
2023-03-21-12-06;3975.52;12609.73
2023-03-21-12-07;3975.95;12613.38
2023-03-21-12-08;3975.13;12613.98
2023-03-21-12-09;3976.52;12618.65
2023-03-21-12-10;3976.20;12618.00
2023-03-21-12-11;3977.42;12622.44
2023-03-21-12-12;3979.33;12627.69
2023-03-21-12-13;3979.07;12629.10
2023-03-21-12-14;3979.03;12629.79
2023-03-21-12-15;3978.01;12625.96
2023-03-21-12-16;3978.47;12627.11
2023-03-21-12-17;3979.49;12629.46
2023-03-21-12-18;3979.18;12626.09
2023-03-21-12-19;3977.33;12619.83
2023-03-21-12-20;3978.03;12625.97
2023-03-21-12-21;3978.18;12627.96
2023-03-21-12-22;3978.86;12630.86
2023-03-21-12-23;3978.52;12630.19
2023-03-21-12-24;3979.44;12631.94
2023-03-21-12-25;3978.63;12629.85
2023-03-21-12-26;3978.91;12628.15
2023-03-21-12-27;3981.47;12637.62
2023-03-21-12-28;3980.79;12635.50
2023-03-21-12-29;3981.08;12636.41
2023-03-21-12-30;3980.57;12636.04
2023-03-21-12-31;3981.69;12640.31
2023-03-21-12-32;3982.65;12645.69
2023-03-21-12-33;3983.18;12650.36
2023-03-21-12-34;3983.15;12650.86
2023-03-21-12-35;3982.20;12648.06
2023-03-21-12-36;3980.86;12642.97
2023-03-21-12-37;3981.97;12648.47
2023-03-21-12-38;3981.68;12648.29
2023-03-21-12-39;3980.94;12644.78
2023-03-21-12-40;3979.12;12640.35
2023-03-21-12-41;3979.52;12640.85
2023-03-21-12-42;3979.33;12640.86
2023-03-21-12-43;3979.24;12639.39
2023-03-21-12-44;3978.86;12637.82
2023-03-21-12-45;3978.03;12633.93
2023-03-21-12-46;3977.01;12628.77
2023-03-21-12-47;3976.74;12628.38
2023-03-21-12-48;3978.93;12635.94
2023-03-21-12-49;3978.91;12636.12
2023-03-21-12-50;3978.57;12635.31
2023-03-21-12-51;3979.55;12637.66
2023-03-21-12-52;3980.42;12641.78
2023-03-21-12-53;3980.55;12644.84
2023-03-21-12-54;3981.66;12648.92
2023-03-21-12-55;3979.89;12642.43
2023-03-21-12-56;3980.67;12647.28
2023-03-21-12-57;3980.70;12647.70
2023-03-21-12-58;3981.73;12652.74
2023-03-21-12-59;3981.53;12654.00
2023-03-21-13-00;3979.72;12649.84
2023-03-21-13-01;3978.91;12648.24
2023-03-21-13-02;3977.73;12643.00
2023-03-21-13-03;3978.95;12647.03
2023-03-21-13-04;3977.86;12641.61
2023-03-21-13-05;3978.36;12644.47
2023-03-21-13-06;3977.49;12642.83
2023-03-21-13-07;3977.95;12643.13
2023-03-21-13-08;3979.43;12650.20
2023-03-21-13-09;3979.39;12649.71
2023-03-21-13-10;3979.83;12650.12
2023-03-21-13-11;3982.82;12660.19
2023-03-21-13-12;3981.88;12656.87
2023-03-21-13-13;3982.06;12660.30
2023-03-21-13-14;3982.77;12661.67
2023-03-21-13-15;3982.20;12660.34
2023-03-21-13-16;3982.65;12662.27
2023-03-21-13-17;3982.97;12661.36
2023-03-21-13-18;3982.08;12658.07
2023-03-21-13-19;3983.28;12663.78
2023-03-21-13-20;3983.50;12665.42
2023-03-21-13-21;3983.51;12666.59
2023-03-21-13-22;3983.00;12665.71
2023-03-21-13-23;3982.95;12666.06
2023-03-21-13-24;3982.41;12661.23
2023-03-21-13-25;3982.38;12658.91
2023-03-21-13-26;3982.49;12660.94
2023-03-21-13-27;3983.23;12664.23
2023-03-21-13-28;3983.16;12665.81
2023-03-21-13-29;3984.95;12674.76
2023-03-21-13-30;3984.89;12673.40
2023-03-21-13-31;3986.26;12678.73
2023-03-21-13-32;3986.45;12678.26
2023-03-21-13-33;3986.83;12680.77
2023-03-21-13-34;3987.34;12681.98
2023-03-21-13-35;3987.57;12680.16
2023-03-21-13-36;3987.52;12680.93
2023-03-21-13-37;3988.46;12685.30
2023-03-21-13-38;3988.41;12685.15
2023-03-21-13-39;3987.36;12679.25
2023-03-21-13-40;3986.74;12676.14
2023-03-21-13-41;3986.74;12678.50
2023-03-21-13-42;3985.42;12674.08
2023-03-21-13-43;3986.44;12675.38
2023-03-21-13-44;3987.05;12677.59
2023-03-21-13-45;3986.44;12675.19
2023-03-21-13-46;3986.64;12676.72
2023-03-21-13-47;3987.03;12677.24
2023-03-21-13-48;3986.51;12676.39
2023-03-21-13-49;3985.69;12672.56
2023-03-21-13-50;3985.14;12671.36
2023-03-21-13-51;3983.73;12667.92
2023-03-21-13-52;3984.55;12671.38
2023-03-21-13-53;3983.27;12667.98
2023-03-21-13-54;3982.98;12666.84
2023-03-21-13-55;3982.94;12671.31
2023-03-21-13-56;3982.70;12668.68
2023-03-21-13-57;3981.82;12667.83
2023-03-21-13-58;3978.81;12657.80
2023-03-21-13-59;3978.83;12656.99
2023-03-21-14-00;3978.28;12653.24
2023-03-21-14-01;3978.43;12653.59
2023-03-21-14-02;3978.98;12654.30
2023-03-21-14-03;3978.34;12652.10
2023-03-21-14-04;3978.72;12657.59
2023-03-21-14-05;3980.08;12662.86
2023-03-21-14-06;3980.92;12666.30
2023-03-21-14-07;3979.56;12663.55
2023-03-21-14-08;3978.95;12660.20
2023-03-21-14-09;3979.36;12662.84
2023-03-21-14-10;3979.63;12664.62
2023-03-21-14-11;3980.13;12666.89
2023-03-21-14-12;3979.92;12665.50
2023-03-21-14-13;3979.44;12664.48
2023-03-21-14-14;3980.60;12667.34
2023-03-21-14-15;3980.43;12665.46
2023-03-21-14-16;3980.32;12664.25
2023-03-21-14-17;3982.43;12670.54
2023-03-21-14-18;3982.29;12669.83
2023-03-21-14-19;3981.64;12666.65
2023-03-21-14-20;3981.53;12665.43
2023-03-21-14-21;3981.76;12663.01
2023-03-21-14-22;3982.22;12663.25
2023-03-21-14-23;3982.41;12665.46
2023-03-21-14-24;3983.51;12669.44
2023-03-21-14-25;3983.39;12669.49
2023-03-21-14-26;3983.79;12670.02
2023-03-21-14-27;3984.91;12672.31
2023-03-21-14-28;3985.63;12675.92
2023-03-21-14-29;3986.53;12678.81
2023-03-21-14-30;3985.94;12677.35
2023-03-21-14-31;3986.26;12679.24
2023-03-21-14-32;3985.80;12678.33
2023-03-21-14-33;3986.08;12677.01
2023-03-21-14-34;3986.91;12681.14
2023-03-21-14-35;3986.79;12683.50
2023-03-21-14-36;3986.83;12684.53
2023-03-21-14-37;3986.67;12683.74
2023-03-21-14-38;3987.16;12686.23
2023-03-21-14-39;3985.45;12680.83
2023-03-21-14-40;3984.94;12679.59
2023-03-21-14-41;3984.91;12678.68
2023-03-21-14-42;3986.06;12682.80
2023-03-21-14-43;3987.04;12685.56
2023-03-21-14-44;3986.84;12684.28
2023-03-21-14-45;3987.90;12686.69
2023-03-21-14-46;3989.44;12691.33
2023-03-21-14-47;3989.40;12691.90
2023-03-21-14-48;3988.94;12692.21
2023-03-21-14-49;3989.50;12694.53
2023-03-21-14-50;3989.82;12697.90
2023-03-21-14-51;3989.55;12698.85
2023-03-21-14-52;3989.81;12698.82
2023-03-21-14-53;3988.03;12693.16
2023-03-21-14-54;3988.05;12693.49
2023-03-21-14-55;3989.24;12698.15
2023-03-21-14-56;3989.93;12700.13
2023-03-21-14-57;3991.56;12704.92
2023-03-21-14-58;3992.91;12709.27
2023-03-21-14-59;3993.29;12711.88
2023-03-21-15-00;3991.62;12706.30
2023-03-21-15-01;3993.28;12712.48
2023-03-21-15-02;3994.99;12715.25
2023-03-21-15-03;3995.03;12715.50
2023-03-21-15-04;3995.21;12716.52
2023-03-21-15-05;3995.34;12715.70
2023-03-21-15-06;3995.25;12715.68
2023-03-21-15-07;3994.24;12712.12
2023-03-21-15-08;3995.19;12716.85
2023-03-21-15-09;3995.45;12718.48
2023-03-21-15-10;3995.53;12718.63
2023-03-21-15-11;3995.27;12718.10
2023-03-21-15-12;3995.64;12717.97
2023-03-21-15-13;3998.52;12729.36
2023-03-21-15-14;3998.05;12724.44
2023-03-21-15-15;3996.84;12722.81
2023-03-21-15-16;3995.93;12717.05
2023-03-21-15-17;3996.90;12719.41
2023-03-21-15-18;3997.35;12720.69
2023-03-21-15-19;3998.25;12726.35
2023-03-21-15-20;3998.86;12727.05
2023-03-21-15-21;3999.26;12728.41
2023-03-21-15-22;3999.30;12730.00
2023-03-21-15-23;3999.43;12729.21
2023-03-21-15-24;3998.32;12724.31
2023-03-21-15-25;3997.53;12721.89
2023-03-21-15-26;3995.43;12714.28
2023-03-21-15-27;3995.49;12716.28
2023-03-21-15-28;3996.42;12720.47
2023-03-21-15-29;3997.45;12725.95
2023-03-21-15-30;3997.84;12727.53
2023-03-21-15-31;3998.26;12727.18
2023-03-21-15-32;3998.53;12728.62
2023-03-21-15-33;3998.24;12726.11
2023-03-21-15-34;3997.49;12724.13
2023-03-21-15-35;3996.09;12719.44
2023-03-21-15-36;3996.44;12723.45
2023-03-21-15-37;3998.81;12730.94
2023-03-21-15-38;3999.08;12730.81
2023-03-21-15-39;4000.97;12737.87
2023-03-21-15-40;4003.88;12747.24
2023-03-21-15-41;4006.96;12757.34
2023-03-21-15-42;4004.99;12749.56
2023-03-21-15-43;4004.92;12751.53
2023-03-21-15-44;4007.10;12756.79
2023-03-21-15-45;4008.39;12759.20
2023-03-21-15-46;4007.55;12756.02
2023-03-21-15-47;4007.64;12757.97
2023-03-21-15-48;4008.26;12760.08
2023-03-21-15-49;4006.31;12755.75
2023-03-21-15-50;4005.23;12748.51
2023-03-21-15-51;4004.53;12749.54
2023-03-21-15-52;4004.65;12749.54
2023-03-21-15-53;4006.86;12757.94
2023-03-21-15-54;4006.16;12752.83
2023-03-21-15-55;4005.10;12747.47
2023-03-21-15-56;4004.09;12742.81
2023-03-21-15-57;4003.79;12741.41
2023-03-21-15-58;4002.22;12735.06
2023-03-21-15-59;4001.32;12732.95
2023-03-21-16-00;4003.46;12741.44
2023-03-21-16-01;4003.16;12741.44
2023-03-21-16-02;4003.16;12741.44
2023-03-21-16-03;4003.16;12741.44
2023-03-21-16-04;4002.93;12741.44
2023-03-21-16-05;4002.88;12741.44
2023-03-21-16-06;4002.87;12741.44
2023-03-21-16-07;4002.87;12741.44
2023-03-21-16-08;4002.87;12741.44
2023-03-21-16-09;4002.87;12741.44
2023-03-21-16-10;4002.87;12741.44
2023-03-21-16-11;4002.87;12741.44
2023-03-21-16-12;4002.87;12741.44
2023-03-21-16-13;4002.87;12741.44
2023-03-21-16-14;4002.87;12741.44
2023-03-21-16-15;4002.87;12741.44
2023-03-21-16-16;4002.87;12741.44
2023-03-21-16-17;4002.87;12741.44
2023-03-21-16-18;4002.87;12741.44
2023-03-21-16-19;4002.87;12741.44
2023-03-21-16-20;4002.87;12741.44
2023-03-21-16-21;4002.87;12741.44
2023-03-21-16-22;4002.87;12741.44
2023-03-21-16-23;4002.87;12741.44
2023-03-21-16-24;4002.87;12741.44
2023-03-21-16-25;4002.87;12741.44
2023-03-21-16-26;4002.87;12741.44
2023-03-21-16-27;4002.87;12741.44
2023-03-21-16-28;4002.87;12741.44
2023-03-21-16-29;4002.87;12741.44
2023-03-21-16-30;4002.87;12741.44
2023-03-21-16-31;4002.87;12741.44
2023-03-21-16-32;4002.87;12741.44
2023-03-21-16-33;4002.87;12741.44
2023-03-21-16-34;4002.87;12741.44
2023-03-21-16-35;4002.87;12741.44
2023-03-21-16-36;4002.87;12741.44
2023-03-21-16-37;4002.87;12741.44
2023-03-21-16-38;4002.87;12741.44
2023-03-21-16-39;4002.87;12741.44
2023-03-21-16-40;4002.87;12741.44
2023-03-21-16-41;4002.87;12741.44
2023-03-21-16-42;4002.87;12741.44
2023-03-21-16-43;4002.87;12741.44
2023-03-21-16-44;4002.87;12741.44
2023-03-21-16-45;4002.87;12741.44
2023-03-21-16-46;4002.87;12741.44
2023-03-21-16-47;4002.87;12741.44
2023-03-21-16-48;4002.87;12741.44
2023-03-21-16-49;4002.87;12741.44
2023-03-21-16-50;4002.87;12741.44
2023-03-21-16-51;4002.87;12741.44
2023-03-21-16-52;4002.87;12741.44
2023-03-21-16-53;4002.87;12741.44
2023-03-21-16-54;4002.87;12741.44
2023-03-21-16-55;4002.87;12741.44
2023-03-21-16-56;4002.87;12741.44
2023-03-21-16-57;4002.87;12741.44
2023-03-21-16-58;4002.87;12741.44
2023-03-21-16-59;4002.87;12741.44
2023-03-22-09-00;4002.87;12741.44
2023-03-22-09-01;4002.87;12741.44
2023-03-22-09-02;4002.87;12741.44
2023-03-22-09-03;4002.87;12741.44
2023-03-22-09-04;4002.87;12741.44
2023-03-22-09-05;4002.87;12741.44
2023-03-22-09-06;4002.87;12741.44
2023-03-22-09-07;4002.87;12741.44
2023-03-22-09-08;4002.87;12741.44
2023-03-22-09-09;4002.87;12741.44
2023-03-22-09-10;4002.87;12741.44
2023-03-22-09-11;4002.87;12741.44
2023-03-22-09-12;4002.87;12741.44
2023-03-22-09-13;4002.87;12741.44
2023-03-22-09-14;4002.87;12741.44
2023-03-22-09-15;4002.87;12741.44
2023-03-22-09-16;4002.87;12741.44
2023-03-22-09-17;4002.87;12741.44
2023-03-22-09-18;4002.87;12741.44
2023-03-22-09-19;4002.87;12741.44
2023-03-22-09-20;4002.87;12741.44
2023-03-22-09-21;4002.87;12741.44
2023-03-22-09-22;4002.87;12741.44
2023-03-22-09-23;4002.87;12741.44
2023-03-22-09-24;4002.87;12741.44
2023-03-22-09-25;4002.87;12741.44
2023-03-22-09-26;4002.87;12741.44
2023-03-22-09-27;4002.87;12741.44
2023-03-22-09-28;4002.87;12741.44
2023-03-22-09-29;4002.87;12741.44
2023-03-22-09-30;4003.11;12741.44
2023-03-22-09-31;4002.23;12737.87
2023-03-22-09-32;3999.05;12730.70
2023-03-22-09-33;3998.79;12731.80
2023-03-22-09-34;3996.84;12723.81
2023-03-22-09-35;3998.34;12731.61
2023-03-22-09-36;3997.67;12729.22
2023-03-22-09-37;3999.89;12737.00
2023-03-22-09-38;4001.85;12744.69
2023-03-22-09-39;4000.72;12741.17
2023-03-22-09-40;4000.69;12747.31
2023-03-22-09-41;3998.61;12741.97
2023-03-22-09-42;3997.75;12735.59
2023-03-22-09-43;3996.74;12731.04
2023-03-22-09-44;3997.84;12737.63
2023-03-22-09-45;3996.95;12736.97
2023-03-22-09-46;3997.27;12732.43
2023-03-22-09-47;3996.91;12735.67
2023-03-22-09-48;3997.33;12738.43
2023-03-22-09-49;3998.48;12745.90
2023-03-22-09-50;3999.06;12746.72
2023-03-22-09-51;4001.31;12754.20
2023-03-22-09-52;4000.72;12753.96
2023-03-22-09-53;3999.52;12749.59
2023-03-22-09-54;3998.67;12750.65
2023-03-22-09-55;3999.72;12753.95
2023-03-22-09-56;3998.90;12747.42
2023-03-22-09-57;3999.84;12750.35
2023-03-22-09-58;4000.35;12751.02
2023-03-22-09-59;4000.61;12749.42
2023-03-22-10-00;4000.71;12750.14
2023-03-22-10-01;4001.94;12760.43
2023-03-22-10-02;4001.13;12752.10
2023-03-22-10-03;4000.62;12749.08
2023-03-22-10-04;4001.19;12752.67
2023-03-22-10-05;4000.93;12749.86
2023-03-22-10-06;4000.70;12745.94
2023-03-22-10-07;4000.75;12747.40
2023-03-22-10-08;4002.20;12753.97
2023-03-22-10-09;4002.35;12753.60
2023-03-22-10-10;4001.61;12744.98
2023-03-22-10-11;4002.32;12748.59
2023-03-22-10-12;4000.81;12743.78
2023-03-22-10-13;3999.64;12742.72
2023-03-22-10-14;3999.29;12737.26
2023-03-22-10-15;3999.33;12737.46
2023-03-22-10-16;4001.42;12743.50
2023-03-22-10-17;4001.85;12745.76
2023-03-22-10-18;4002.36;12749.26
2023-03-22-10-19;4002.75;12748.13
2023-03-22-10-20;4003.49;12751.97
2023-03-22-10-21;4006.14;12764.01
2023-03-22-10-22;4006.10;12761.78
2023-03-22-10-23;4006.79;12768.08
2023-03-22-10-24;4006.31;12771.00
2023-03-22-10-25;4006.63;12769.35
2023-03-22-10-26;4006.75;12770.92
2023-03-22-10-27;4006.87;12772.60
2023-03-22-10-28;4007.45;12776.05
2023-03-22-10-29;4012.33;12797.13
2023-03-22-10-30;4013.29;12800.41
2023-03-22-10-31;4013.18;12798.84
2023-03-22-10-32;4013.37;12798.70
2023-03-22-10-33;4011.76;12793.00
2023-03-22-10-34;4011.51;12794.16
2023-03-22-10-35;4012.01;12794.59
2023-03-22-10-36;4010.25;12784.58
2023-03-22-10-37;4011.02;12786.90
2023-03-22-10-38;4010.34;12783.77
2023-03-22-10-39;4010.51;12785.69
2023-03-22-10-40;4010.68;12787.39
2023-03-22-10-41;4010.03;12785.14
2023-03-22-10-42;4010.62;12786.85
2023-03-22-10-43;4010.88;12786.50
2023-03-22-10-44;4011.13;12786.56
2023-03-22-10-45;4011.24;12786.64
2023-03-22-10-46;4011.99;12788.91
2023-03-22-10-47;4010.82;12783.73
2023-03-22-10-48;4010.45;12782.81
2023-03-22-10-49;4009.29;12781.26
2023-03-22-10-50;4009.11;12778.03
2023-03-22-10-51;4009.74;12781.15
2023-03-22-10-52;4008.48;12777.39
2023-03-22-10-53;4008.14;12776.21
2023-03-22-10-54;4008.07;12778.23
2023-03-22-10-55;4009.20;12783.58
2023-03-22-10-56;4008.63;12782.10
2023-03-22-10-57;4008.62;12780.15
2023-03-22-10-58;4007.74;12780.54
2023-03-22-10-59;4008.07;12780.13
2023-03-22-11-00;4007.94;12780.38
2023-03-22-11-01;4007.33;12775.69
2023-03-22-11-02;4007.25;12776.75
2023-03-22-11-03;4007.37;12777.23
2023-03-22-11-04;4006.86;12777.72
2023-03-22-11-05;4005.99;12776.50
2023-03-22-11-06;4006.47;12777.43
2023-03-22-11-07;4006.52;12777.93
2023-03-22-11-08;4006.25;12780.02
2023-03-22-11-09;4004.54;12774.38
2023-03-22-11-10;4004.17;12774.51
2023-03-22-11-11;4005.54;12781.54
2023-03-22-11-12;4004.24;12774.24
2023-03-22-11-13;4001.70;12765.10
2023-03-22-11-14;4000.27;12760.02
2023-03-22-11-15;4002.38;12770.01
2023-03-22-11-16;4002.33;12771.65
2023-03-22-11-17;4002.07;12772.87
2023-03-22-11-18;4002.89;12775.28
2023-03-22-11-19;4002.53;12773.93
2023-03-22-11-20;4002.09;12772.56
2023-03-22-11-21;4002.47;12773.46
2023-03-22-11-22;4003.08;12778.76
2023-03-22-11-23;4003.54;12781.22
2023-03-22-11-24;4003.98;12784.13
2023-03-22-11-25;4005.56;12789.10
2023-03-22-11-26;4005.10;12787.54
2023-03-22-11-27;4004.92;12787.81
2023-03-22-11-28;4003.76;12785.16
2023-03-22-11-29;4004.25;12790.59
2023-03-22-11-30;4004.17;12786.97
2023-03-22-11-31;4005.27;12791.98
2023-03-22-11-32;4006.19;12795.56
2023-03-22-11-33;4006.03;12798.90
2023-03-22-11-34;4005.44;12796.24
2023-03-22-11-35;4005.82;12796.62
2023-03-22-11-36;4006.14;12799.94
2023-03-22-11-37;4005.37;12798.65
2023-03-22-11-38;4004.38;12796.60
2023-03-22-11-39;4006.12;12806.33
2023-03-22-11-40;4005.98;12806.10
2023-03-22-11-41;4006.40;12810.66
2023-03-22-11-42;4005.08;12804.67
2023-03-22-11-43;4005.18;12806.54
2023-03-22-11-44;4003.50;12801.43
2023-03-22-11-45;4003.18;12800.02
2023-03-22-11-46;4003.72;12802.51
2023-03-22-11-47;4004.62;12804.39
2023-03-22-11-48;4005.62;12808.58
2023-03-22-11-49;4005.22;12807.53
2023-03-22-11-50;4004.67;12802.34
2023-03-22-11-51;4004.96;12803.53
2023-03-22-11-52;4005.65;12805.23
2023-03-22-11-53;4005.52;12807.76
2023-03-22-11-54;4005.58;12807.77
2023-03-22-11-55;4005.17;12804.59
2023-03-22-11-56;4004.83;12799.66
2023-03-22-11-57;4004.62;12800.10
2023-03-22-11-58;4005.42;12802.86
2023-03-22-11-59;4005.01;12802.12
2023-03-22-12-00;4004.25;12798.74
2023-03-22-12-01;4004.35;12795.85
2023-03-22-12-02;4002.58;12790.69
2023-03-22-12-03;4002.54;12790.74
2023-03-22-12-04;4003.55;12792.11
2023-03-22-12-05;4002.49;12789.06
2023-03-22-12-06;4002.55;12789.56
2023-03-22-12-07;4002.14;12787.93
2023-03-22-12-08;4001.50;12784.16
2023-03-22-12-09;4000.78;12778.00
2023-03-22-12-10;4000.59;12777.29
2023-03-22-12-11;4000.07;12776.04
2023-03-22-12-12;3998.27;12769.01
2023-03-22-12-13;3998.02;12764.12
2023-03-22-12-14;3997.79;12762.10
2023-03-22-12-15;3998.08;12761.36
2023-03-22-12-16;3998.57;12765.13
2023-03-22-12-17;3997.94;12762.69
2023-03-22-12-18;3997.42;12760.59
2023-03-22-12-19;3997.47;12757.98
2023-03-22-12-20;3997.49;12759.01
2023-03-22-12-21;3997.39;12756.79
2023-03-22-12-22;3996.83;12751.66
2023-03-22-12-23;3995.90;12744.12
2023-03-22-12-24;3997.00;12750.33
2023-03-22-12-25;3998.33;12755.03
2023-03-22-12-26;3997.93;12754.17
2023-03-22-12-27;3998.57;12754.13
2023-03-22-12-28;3998.85;12756.46
2023-03-22-12-29;3999.64;12759.15
2023-03-22-12-30;3997.67;12750.70
2023-03-22-12-31;3997.90;12753.69
2023-03-22-12-32;3998.48;12754.60
2023-03-22-12-33;3996.76;12752.27
2023-03-22-12-34;3995.93;12748.62
2023-03-22-12-35;3996.36;12750.38
2023-03-22-12-36;3996.55;12752.54
2023-03-22-12-37;3996.56;12751.84
2023-03-22-12-38;3995.58;12749.24
2023-03-22-12-39;3995.09;12746.88
2023-03-22-12-40;3995.89;12752.27
2023-03-22-12-41;3994.74;12750.65
2023-03-22-12-42;3995.95;12755.32
2023-03-22-12-43;3996.39;12757.66
2023-03-22-12-44;3996.79;12757.21
2023-03-22-12-45;3996.61;12756.61
2023-03-22-12-46;3996.84;12756.59
2023-03-22-12-47;3995.35;12751.20
2023-03-22-12-48;3994.92;12747.82
2023-03-22-12-49;3994.78;12749.60
2023-03-22-12-50;3995.24;12749.84
2023-03-22-12-51;3995.92;12754.11
2023-03-22-12-52;3996.08;12757.48
2023-03-22-12-53;3996.83;12761.55
2023-03-22-12-54;3996.62;12761.78
2023-03-22-12-55;3996.05;12759.73
2023-03-22-12-56;3995.04;12755.78
2023-03-22-12-57;3993.92;12754.44
2023-03-22-12-58;3994.24;12756.08
2023-03-22-12-59;3995.24;12760.08
2023-03-22-13-00;3994.68;12759.12
2023-03-22-13-01;3993.10;12753.53
2023-03-22-13-02;3992.62;12751.75
2023-03-22-13-03;3992.07;12750.02
2023-03-22-13-04;3991.39;12748.26
2023-03-22-13-05;3991.18;12747.91
2023-03-22-13-06;3990.77;12748.32
2023-03-22-13-07;3990.86;12749.18
2023-03-22-13-08;3991.93;12752.76
2023-03-22-13-09;3990.65;12747.78
2023-03-22-13-10;3990.58;12745.31
2023-03-22-13-11;3990.71;12746.51
2023-03-22-13-12;3991.98;12751.91
2023-03-22-13-13;3991.67;12750.92
2023-03-22-13-14;3992.22;12752.07
2023-03-22-13-15;3993.04;12756.24
2023-03-22-13-16;3993.12;12756.36
2023-03-22-13-17;3994.42;12760.65
2023-03-22-13-18;3993.52;12758.26
2023-03-22-13-19;3994.18;12760.36
2023-03-22-13-20;3994.54;12759.11
2023-03-22-13-21;3994.88;12761.62
2023-03-22-13-22;3995.65;12763.32
2023-03-22-13-23;3995.93;12764.19
2023-03-22-13-24;3995.24;12762.96
2023-03-22-13-25;3995.15;12764.46
2023-03-22-13-26;3995.14;12764.00
2023-03-22-13-27;3996.22;12770.02
2023-03-22-13-28;3996.56;12773.50
2023-03-22-13-29;3996.63;12773.26
2023-03-22-13-30;3997.29;12773.83
2023-03-22-13-31;3998.51;12778.23
2023-03-22-13-32;3998.62;12779.08
2023-03-22-13-33;3998.63;12779.09
2023-03-22-13-34;3998.09;12778.92
2023-03-22-13-35;3997.86;12778.26
2023-03-22-13-36;3998.46;12780.60
2023-03-22-13-37;3996.98;12775.65
2023-03-22-13-38;3997.25;12774.75
2023-03-22-13-39;3997.87;12777.59
2023-03-22-13-40;3997.70;12778.51
2023-03-22-13-41;3997.57;12779.10
2023-03-22-13-42;3997.19;12776.76
2023-03-22-13-43;3997.86;12779.47
2023-03-22-13-44;3998.06;12779.27
2023-03-22-13-45;3998.60;12781.15
2023-03-22-13-46;3999.07;12782.20
2023-03-22-13-47;3999.38;12782.71
2023-03-22-13-48;3999.53;12782.31
2023-03-22-13-49;3999.21;12780.74
2023-03-22-13-50;3999.41;12780.53
2023-03-22-13-51;3999.94;12781.50
2023-03-22-13-52;3999.44;12780.59
2023-03-22-13-53;3999.75;12781.88
2023-03-22-13-54;4000.03;12783.13
2023-03-22-13-55;4000.26;12786.16
2023-03-22-13-56;4000.54;12786.20
2023-03-22-13-57;4002.13;12792.95
2023-03-22-13-58;4001.27;12790.35
2023-03-22-13-59;4000.95;12792.59
2023-03-22-14-00;4001.39;12794.89
2023-03-22-14-01;4018.39;12849.46
2023-03-22-14-02;4016.06;12836.50
2023-03-22-14-03;4006.52;12807.25
2023-03-22-14-04;4014.27;12838.71
2023-03-22-14-05;4018.38;12854.43
2023-03-22-14-06;4025.07;12881.91
2023-03-22-14-07;4027.46;12886.52
2023-03-22-14-08;4022.36;12876.34
2023-03-22-14-09;4017.22;12857.52
2023-03-22-14-10;4017.21;12849.09
2023-03-22-14-11;4016.13;12840.76
2023-03-22-14-12;4012.41;12827.64
2023-03-22-14-13;4013.59;12831.12
2023-03-22-14-14;4006.67;12806.27
2023-03-22-14-15;4006.12;12808.10
2023-03-22-14-16;4010.86;12819.46
2023-03-22-14-17;4008.13;12810.91
2023-03-22-14-18;4007.89;12815.97
2023-03-22-14-19;4011.25;12829.93
2023-03-22-14-20;4016.40;12848.13
2023-03-22-14-21;4009.79;12826.78
2023-03-22-14-22;4012.23;12831.89
2023-03-22-14-23;4011.36;12832.10
2023-03-22-14-24;4010.34;12826.53
2023-03-22-14-25;4008.71;12820.29
2023-03-22-14-26;4009.17;12829.06
2023-03-22-14-27;4010.41;12832.73
2023-03-22-14-28;4013.82;12846.34
2023-03-22-14-29;4014.69;12851.47
2023-03-22-14-30;4014.54;12852.95
2023-03-22-14-31;4010.31;12837.41
2023-03-22-14-32;4019.16;12870.20
2023-03-22-14-33;4011.81;12835.95
2023-03-22-14-34;4010.16;12823.75
2023-03-22-14-35;4010.28;12828.90
2023-03-22-14-36;3999.30;12782.39
2023-03-22-14-37;3997.88;12771.16
2023-03-22-14-38;4007.35;12813.57
2023-03-22-14-39;4013.04;12830.54
2023-03-22-14-40;4008.53;12821.14
2023-03-22-14-41;4015.34;12848.90
2023-03-22-14-42;4025.11;12887.48
2023-03-22-14-43;4027.29;12888.71
2023-03-22-14-44;4028.79;12896.31
2023-03-22-14-45;4025.29;12883.76
2023-03-22-14-46;4026.39;12893.77
2023-03-22-14-47;4033.78;12921.92
2023-03-22-14-48;4036.13;12930.12
2023-03-22-14-49;4036.84;12936.71
2023-03-22-14-50;4033.41;12920.88
2023-03-22-14-51;4034.15;12926.84
2023-03-22-14-52;4032.66;12922.45
2023-03-22-14-53;4033.85;12926.68
2023-03-22-14-54;4033.85;12885.92
2023-03-22-14-55;4019.23;12870.12
2023-03-22-14-56;4018.08;12862.77
2023-03-22-14-57;4015.04;12851.70
2023-03-22-14-58;4011.60;12836.39
2023-03-22-14-59;4004.76;12808.92
2023-03-22-15-00;3999.79;12790.03
2023-03-22-15-01;4003.02;12801.96
2023-03-22-15-02;3994.72;12773.02
2023-03-22-15-03;3995.68;12778.92
2023-03-22-15-04;3995.64;12778.12
2023-03-22-15-05;3984.71;12735.49
2023-03-22-15-06;3984.23;12734.18
2023-03-22-15-07;3986.66;12745.85
2023-03-22-15-08;3981.98;12720.78
2023-03-22-15-09;3975.87;12703.92
2023-03-22-15-10;3980.61;12723.16
